text1	text2	label
孕32周G4P1ROA先兆早产	急性胆管炎	0
扁平苔藓其他的	鼻咽恶性肿瘤	0
胰后脾静脉海绵样变	"""下肢未特指的损伤,水平未特指"""	0
"""结肠癌术后pT4N1M0,肝转移切除术后"""	结肠恶性肿瘤	1
右腓肠肌肌肉拉伤	脑出血	0
多处皮肤擦挫伤、多处软组织伤	多处皮肤浅表擦伤	1
子宫颈鳞癌IIB期放疗后	子宫颈恶性肿瘤	1
脑炎后遗症	甲状腺恶性肿瘤	0
"""深静脉血栓形成,肺腺+130:400癌IV期,肝功能损伤,化疗呕吐,白细胞减少 中性粒细胞减少"""	中性粒细胞减少症	1
右侧腹股沟疖肿	卵巢术后	0
直肠癌术后回肠造口还纳术	癌	1
直肠腺癌根治术后pT2N0M0	子宫恶性肿瘤	0
胆囊特指疾病胆囊隆起样改变性质待定	胆道其他特指的疾病	1
右肾盂输尿管占位	印戒细胞癌	0
右腿截肢右腿功能障碍	胃恶性肿瘤	0
左膝关节占位性病变	下肢占位	1
左颈动脉硬化性狭窄	颈动脉狭窄	1
子宫绒癌化疗	直肠术后	0
鞍区占位性质待查	颅内占位性病变	1
右乳肿物纤维腺瘤	乳房肿物	1
高血压良性小动脉肾硬化症	盆腔恶性肿瘤	0
降结肠腺瘤	腺瘤	1
肾功能检查的异常结果	肾功能不全	1
急粒、乙肝3.3	急性粒细胞白血病	1
多发缺血性白质脱髓鞘改变	骨关节病	0
右腹膜后神经母细胞瘤Ⅳ期术后化疗（高危组）	咯血	0
胸101112椎骨质破坏待查伴不全瘫	泌尿道的其他人工造口状态	0
膝关节外翻	人工晶体植入状态	0
骨髓增生异常综合征，直肠癌术后	短暂性脑缺血发作	0
病毒性皮肤病	未特指的以皮肤和粘膜损害为特征的病毒性感染	1
原发性扩张型心肌病，全心扩大，心房纤颤、偶发室性早搏，心功能Ⅲ级	室性期前收缩	1
腕和手多处损伤(分类S60-S68的损伤)	胆管炎	0
胃低分化腺癌伴印戒细胞癌	癌	0
横结肠乙状结肠管状腺瘤建议定期复查	横结肠良性肿瘤	1
糖尿病反复低血糖;骨质疏松;高血压冠心病不稳定心绞痛	高血压	1
T6T12椎体陈旧性压缩改变	胸椎压缩性骨折	1
晚期胃癌，长期不能进食	癌	1
HCC介入治疗后；HCC	冠状动脉粥样硬化性心脏病	0
二尖瓣置换状态	腹股沟区挫伤	0
急性化脓性扁桃体炎，喘息性支气管炎	膜性肾病	0
右手小指外伤清创术后	清创术后	1
三踝骨折术后	髌骨骨折	0
肝郁犯胃痰气郁结咽异症	子宫内膜恶性肿瘤	0
肝右叶肝癌	脱髓鞘性白质脑病	0
头部疤痕性秃发	慢性移植物抗宿主病	0
"""痛经,闭经,盆腔炎"""	痛经	1
"""卵巢癌术后,盆腔复发?"""	输尿管术后	0
双侧乳腺软组织影增多请结合临床病史	胸膜钙化	0
停经293周MR提示胎儿左肾稍大肾盏扩张	垂体术后	0
大疱性表皮坏死松解萎缩性药疹	软组织肉瘤	0
卵巢乳头腺液性腺癌术后	卵巢术后	1
"""胃窦癌腹腔广泛淋巴结转移,缺铁性贫血 巨细胞贫血 维生素缺乏,胃食管反流 消化道出血不除外,恶心、呕吐,长期不能进食"""	桡骨头骨折	0
轻度系膜增生样肾小球病变	食管胸下段恶性肿瘤	0
周围神经炎	多发性神经病[多发性神经炎/周围神经炎]	1
非霍奇金淋巴瘤 弥漫大B细胞淋巴瘤II期A 化疗+靶向	化学治疗	1
狼疮相关性肺动脉高压	肺动脉高压	1
脑白质病 脑萎缩	空肠异位胰腺	0
"""高龄,肺占位,肺癌可能大"""	开放性损伤愈合不良	0
颅脑外伤性意识障碍后遗症期	慢性阻塞性肺疾病	0
卵巢颗粒细胞癌	骨坏死	0
冠心病高血压贫血高脂血症胃炎脑梗塞便秘脂肪肝心律失常上呼吸道感染	胃炎	1
"""2型糖尿病,冠状动脉粥样硬化性心脏病,2型糖尿病性周围循环并发症,糖尿病性肾病"""	放射治疗	0
肩胛骨癌	癌	1
右颈面部鳞状细胞癌放化疗后	恶性肿瘤放疗	1
左回旋支粥样硬化伴重度狭窄	冠状动脉狭窄	1
右肺鳞癌 cT4N3M1 Ⅳ期	腹膜后恶性肿瘤	0
冠心脏心肌缺血	心肌供血不足	1
颈部血粥样管粥样硬化	颈动脉粥样硬化	1
胃窦多发早期carcinoma	骨关节病	0
宫颈子宫内膜样腺癌	子宫内膜恶性肿瘤	1
非霍奇金间变大细胞淋巴瘤IV期B	间变性大细胞淋巴瘤	1
胰头中分化腺癌	神经衰弱	0
前降支重度狭窄左旋支闭塞	冠状动脉狭窄	1
左侧颈动脉海绵窦瘘	海绵窦动静脉瘘	1
咀嚼无力吞咽无力功能性疾病可能性大	肺部阴影	0
血铅高钙不足	便秘	0
右前臂带状孢疹	管状腺癌	0
"""食管胃交界腺癌放化疗,血小板降低,白细胞降低,化疗,HER2(1+),PDL-1(强+约10%），EGFR(3+),MSS。"""	化学治疗	1
左足踇趾外翻锤状趾	锤状趾	1
全身多处转移	鼻窦继发恶性肿瘤	0
慢性移植物抗宿主反应病皮肤肝脏骨骼关节	慢性移植物抗宿主病	1
右股静脉临时导管置管术已拔除	为肾透析的临时静脉拔管	1
碱性药物灼伤11%浅Ⅱ度四肢主治	下肢腐蚀伤	1
升结肠乳头状管状腺瘤	颈动脉粥样硬化	0
粘膜扁平苔藓伴糜烂	"""手指开放性损伤"	0
右乳浸润性癌内分泌治疗	恶性肿瘤内分泌治疗	1
弥漫大B细胞性非霍奇金淋巴瘤	腺癌	0
急性迷路炎或前庭麻痹症	子宫及附件占位	0
停经283周发现胎儿心脏继发隔显示不清	妊娠状态	1
右肺穿刺活检腺癌	右肺恶性肿瘤	1
颈部、锁骨上、腹腔淋巴结转移	直肠良性肿瘤	0
右股骨骨折右胫骨骨折右下肢皮肤软组织挫裂伤，右肱骨髁上骨折	"肱骨髁上骨折"""	1
子宫内膜癌I期	子宫恶性肿瘤	1
左乳癌术后伴双肺、多发骨转移综	鼻咽恶性肿瘤	0
重度颅脑外伤性	卵巢恶性肿瘤	0
HTN/蛋白尿/血肌酐升高	蛋白尿	1
复发滤泡淋巴瘤	恶性肿瘤复发	1
肝功受损特纳综合症	肝功能异常	1
妊娠32+周，前置胎盘？	孕32周	1
直肠下段中分化腺癌放化疗	肾造口状态	0
右颈部纤维脂肪病	纤维脂肪瘤	1
乳房，未特指(C50.9)	癌	0
口腔癌	癌	1
右眼裂小待查	纤维瘤	0
直肠中分化粘液腺癌根治术后(pT4bN1M0)IIIC期化疗	脑血管供血不足	0
双上肢抖动原因1帕金森综合症其它	不自主运动	1
20第一次外院建卡初步核对ＥＤＣ：2016.05.06//核对LMP：2015.07.30现孕40周5天//请B超检查了解胎儿胎盘及羊水/（外院检查S/D升高）	孕40周	1
肺组织内见多个纤维化病灶Masson小体	双胎妊娠	0
盆腔未分化肉瘤术后	下颌骨骨折	0
肝细胞腺瘤	胆管癌	0
胃低-中分化腺癌	腺癌	1
右上肺低分化神经内分泌癌	右肺上叶恶性肿瘤	1
肩背拉伤	"躯干未特指的损伤,水平未特指"""	1
鞍区占位病变垂体腺瘤	垂体腺瘤	1
"""乳腺癌改良根治术后,化疗,骨转移,骨质疏松,肝转移,肝损伤"""	肝损伤	1
弓形虫病	未特指的弓形虫病	1
升结肠中分化腺癌，部分为粘液腺癌（pT4aN1M0，3B期，高危）术后第一次化疗	升结肠恶性肿瘤	1
右肾结石伴肾积水	瘢痕子宫	0
心脾肺虚血脂高	一氧化碳中毒后遗症	0
食道高-中分化鳞癌粒子植入术后	癌	0
75牙髓炎，74、64、65深龋，55、63中龋	癌	0
右乳浸润性导管癌T3N0M0	感染	0
1.宫颈鳞癌Ⅱb期 T2bN0M0，2.双侧胸腔积液 双侧颈部淋巴结转移，3.肺内占位性病变性质待查，4.甲状腺结节，性质待定，5.心律失常 房早 短阵房速，6.恶病质，7.肺内感染，8.低钾血症，高钠血症	多发性脑梗死	0
距肛门55cm结肠管状腺瘤Ⅱ级	结肠良性肿瘤	1
A2B1半脱位A1根折	牙折断	1
肠系膜血管缺血性病变及痉挛性改变	肠系膜动脉供血不足	1
结肠肝曲癌	左肺恶性肿瘤	0
右乳外上象限纤维腺瘤	非霍奇金淋巴瘤	0
喉部新生物Ⅱ度呼吸不畅	髋部损伤	0
"""右肺癌,肝脏多发弥漫性结节,双侧肾上腺占位胃溃疡胃酸多,多发骨转移 中重度疼痛,维生素缺乏 咳嗽,化疗止吐 脑转移"""	全心衰竭	0
双眼屈光不正；黄斑病变；双眼糖尿病眼底病变	子宫颈恶性肿瘤	0
左眼黄斑劈裂伴视网膜浅脱离	子宫颈恶性肿瘤	0
新生儿胎粪吸入综合征先心病心衰缺氧缺血	胎儿先天性心脏病	1
胃窦病变伴上消化道大出血	脱髓鞘性脑病	0
双乳纤维囊性乳腺病合并导管内乳头状瘤	支气管炎	0
回盲部黄色肉芽肿性炎	黄肉芽肿	1
右眼睑皮肤过敏	眼睑变应性皮炎	1
1荨麻疹，慢性2皮炎	慢性荨麻疹	1
咽鼓管开放症左咽鼓管功能不良	癌性疼痛	0
子宫肌层恶性肿瘤平滑肌肉瘤	心脏扩大	0
无精症输精管梗阻精液淤积症	多发性骨髓瘤	0
右髋股撞击症右盂唇撕裂	髋关节撞击综合征	1
"""肺癌 放疗化疗,放射性皮炎,咳嗽,肝功能损害 预防过敏,化疗止吐 维生素缺乏"""	"慢性肾脏病,4期"""	0
重度关节炎双膝	关节肿胀	0
胸壁皮肤受侵	鼻炎	0
躯体神经官能症	其他特指的神经症性障碍	1
大肠肿物	管状腺瘤	0
下肢动脉阻塞	转移性癌	0
行动不便结肠癌术后化疗	结肠恶性肿瘤	1
白细胞血小板继发性减少症	白细胞减少	1
左肺SCLC局限期3程化疗后	妊娠状态	0
神经痛(耳)	神经痛	1
闭塞性动脉粥样硬化症	闭塞性动脉硬化	1
骨癌	恶性肿瘤复发	0
"""食管癌术后pT3N1 放化疗 白细胞低下,恶心呕吐,血小板低,放射性食管炎,疼痛"""	黄疸	0
冠心病心律失常型;水肿行动不便	直肠术后	0
右乳浸润性导管癌术后化疗(pT	腺癌	0
腕部肌筋膜劳损	癌性疼痛	0
肺浸润性腺癌	腺癌	1
1.肝癌综合治疗后复发； 2.慢性乙肝	不自主运动	0
食管胃静脉曲张	食管静脉曲张	1
多脏器功能不全累及肝脏血液心肌	放射治疗	0
右小腿创伤性软组织缺损皮肤和软组织缺损	鳞状细胞癌	0
腰椎病左侧神经根受压	陈旧性前壁心肌梗死	0
急性淋巴细胞病缓解骨髓象	急性淋巴细胞白血病	1
多发性子宫肌瘤富于细胞型	先天性第五六脑室	0
H59802青睫综合征	恶性肿瘤中医治疗	0
"""左足底黑色素瘤扩大切除术后,左下肢肌肉间转移，肺、肝转移？,胃溃疡"""	直肠良性肿瘤	0
乙状结肠中分化腺癌术后中医治疗	癌	0
胃窦管状腺癌根治术后(pT4N	肺血管畸形	0
"""乳癌术后骨转移 严重骨质疏松 ,肝损伤癌性疼痛"""	阴囊恶性肿瘤	0
电解质紊乱-低钠钾氯血症	甲状腺恶性肿瘤	0
神经瘫	腰痛	0
慢性肺曲霉病急性发作	肺曲霉菌病	1
肺磨玻璃样变待查	凝血功能障碍	0
右腰背部囊肿	背部囊肿	1
"""随诊检查,恶性肿瘤手术后(食管癌，喉癌)"""	子宫囊肿	0
"""右肺癌,肝脏多发弥漫性结节,双侧肾上腺占位胃溃疡胃酸多,多发骨转移 中重度疼痛,维生素缺乏 咳嗽,化疗止吐 脑转移"""	化学治疗	1
"""右肺下叶低分化癌骨转移 淋巴结转移 IV期,双肺多发小结节性质待查"""	踝部损伤	0
"""化疗呕吐失眠,小细胞肺癌化疗脑转移癌,白细胞减少抗凝,行动不便便秘高血压,行动不便过敏肝功能异常,反流性食道炎伴溃疡便秘,重度疼痛抗过敏水肿利尿"""	先天性发育异常	0
鼻咽癌肺转移、骨转移术后	结扎输卵管绝育	0
慢性移植物抗宿主反应病肝脏皮肤口腔	中耳炎	0
前列腺癌肺M	宫颈上皮瘤样病变[CIN]II级	0
胃窦癌伴肝转移术后	转移性癌	1
"""上呼吸道感染口腔溃疡,行动不便,关节痛,反酸痛风,冠心病预防血栓,高血压"""	肝细胞癌	0
突发特发性听觉减退左耳	突发性聋	1
特指器官后天性缺失左手第2	恶性肿瘤复发	0
肉芽肿性肝炎	"""肉芽肿性肝炎,不可归类在他处者"""	1
右肾造瘘术后	乙状结肠恶性肿瘤	0
横结肠管状腺瘤直乙交界管状腺瘤	淋巴结继发恶性肿瘤	0
右乳浸润性导管癌伴肝脏转移	转移性导管癌	1
甲状腺癌伴肺M内放疗三程后	黑色素瘤	0
不典型甲状旁腺腺瘤	腺瘤	1
小细胞低色素多发性抽动	不自主运动	1
卵巢癌化疗后	放射治疗	0
膀胱癌复发	恶性肿瘤复发	1
右第骨骨折并肺挫伤	间质性肺病	0
右颞叶海马异常信号缺血脱髓鞘改变	脱髓鞘性脑病	1
膝内翻轻度左侧肋外翻轻度	头部损伤	0
双眼角膜病变8前列腺肥大	子宫发育不全	0
会阴部瘢痕挛缩畸形	瘢痕挛缩	1
心脾肺虚血脂高	高脂血症	1
宫颈鳞癌Ⅲb期化疗后放疗中	恶性肿瘤放疗	1
颅底凹陷症伴不全瘫	右肺上叶恶性肿瘤	0
急性髓细胞白血病（CR）化疗	月经过多	0
肝病脑病I期	肝性脑病	1
胸膜转移癌	新生儿缺氧缺血性脑病	0
肩背部劳损	肩颈部劳损	1
直肠粘膜低级别管状腺瘤	肱骨骨折	0
距骨舟骨撕脱性骨折	2型糖尿病	0
外阴鳞状细胞癌化疗后	胃恶性肿瘤	0
颈34融合颈45不稳脊柱轻度侧弯	肺诊断性影像异常	0
扩心指端肥大症	扩张性心肌病[充血性心肌病]	1
尿路感染，肾炎？左肾静脉受压？	泌尿系感染	1
右椎动脉管腔细小发育变异	椎动脉畸形	1
从房屋或建筑结构上跌落或跌出	慢性浅表性胃炎	0
肝癌冷冻术后/乙肝肝硬化	非霍奇金淋巴瘤	0
"""肺癌晚期术后复发放疗低硒,咯血,疼痛,咳嗽,恶心,呕吐"""	意识障碍	0
十二指肠恶性肿瘤术后(恶性黑色素瘤)	焦虑状态	0
阴茎根部刀伤	宫颈上皮瘤样病变[CIN]II级	0
肺粘液腺癌	冠状动脉粥样硬化性心脏病	0
肝内外胆管结石伴急性胆管炎	偏侧肢体无力	0
右眼视障待查缺血	视觉障碍	1
宫颈癌术后放疗后复发	家族性渗出性玻璃体视网膜病变	0
右颞顶骨大面积粉凹陷性碎性骨折	颅骨骨折	1
膀胱浸润性高级别乳头状尿路上皮癌	膀胱恶性肿瘤	1
周围神经病变桡神经病变右侧	多发性神经病[多发性神经炎/周围神经炎]	1
"""右上肺中央型腺鳞癌（pT2N2M0, IIIa期）术后伴右肺、右胸壁、肋骨多发转"""	转移性癌	1
三尖瓣环发育欠佳	恶性肿瘤免疫治疗	0
盲肠1升结肠2管状腺瘤伴低级别上皮内瘤变	大隐静脉曲张	0
中分化腺癌伴粘液腺癌	腺癌	1
脑动脉硬化;乏力;耳鸣;脑血管供血不足	急性坏疽性阑尾炎伴腹膜炎	0
左侧输卵管闭塞	放射治疗	0
先天性三尖瓣发育不良	三尖瓣发育异常	1
右附件囊性病变-输卵管结积液可能	输卵管卵巢囊肿	1
耳后粉瘤感染	腺癌	0
双侧输尿管软镜钬激光碎石术	输尿管结石	1
子宫颈鳞癌IIIB期放化疗后	鳞状细胞癌	1
冠心病心房纤颤高血压头痛	颈部肿物	0
低分化腺鳞癌	甲状腺功能减退	0
乙状结肠中分化腺癌伴肝转移术后（T3N1M1 D	手指损伤	0
颈椎病颈椎间盘突出症颈椎管狭窄症	下肢恶性肿瘤	0
子宫内膜不典型息肉样腺肌瘤	子宫腺肌瘤	1
"""前列腺癌根治性切除术后,前列腺癌生化复发 局部放疗"""	恶性肿瘤复发	1
乳糜胸腹水	腹水	1
右足化脓性病灶切开延迟愈合	足感染	1
右上肢躯干开水烫伤	上肢烫伤	1
双乳多发腺瘤	腺瘤	1
先心病房缺封堵术后；高血压	心脏术后	1
直肠癌放化疗 后	肺病	0
酒精中毒性精神障碍	酒精所致的精神病性障碍	1
"""右肺癌术后疼痛免疫功能,咳血抗过敏维生素不足叶酸不足,行动不便便秘重度疼痛抗过敏化疗,口腔溃疡高血压,化疗呕吐食欲减退"""	结肠肝曲良性肿瘤	0
结肠癌复发	前额开放性损伤	0
咨询;骨质疏松	腺癌	0
周身游走性疼痛	先天性喉喘鸣	0
霉菌性足分支菌病	真菌性足菌肿	1
右乳腺癌中医治疗	乳腺恶性肿瘤	1
原发性支气管肺癌(左上肺鳞癌，cT2aN3M0 ⅢB期PS 1分)	鳞状细胞癌	1
先天性喉软骨发育不良(轻度)	先天性喉发育不全	1
系统性红斑狼疮狼疮肾炎	胃恶性肿瘤	0
"""颈椎病,颈项痛,腰腿痛"""	卵巢术后	0
先天性肺囊肿并感染	肺部感染	1
输卵管癌ⅢC期	"""神经胶质瘤(除外鼻部神经胶质瘤,非肿瘤性)"""	0
右腕劳损	上呼吸道感染	0
阴道真菌月经不调	月经紊乱	1
1.冠心病，陈旧前壁心梗，PTCA+支架术后；2.高血压病2级（极高危）；3.高脂血症。	冠状血管成形术后状态	1
宫颈非角化型鳞癌IIIb期放化疗后	非特异性ST-T改变	0
肝热便秘；痹证；胸痹，气虚血瘀--高位截瘫	肝功能不全	0
急性广泛前壁ST段抬高型心肌梗死	锁骨下动脉狭窄	0
顺产后4天胎盘残留	肝细胞癌	0
右侧先天性手指侧弯	慢性淋巴细胞性甲状腺炎	0
直肠腺癌 第一次化疗	腔隙性脑梗死	0
右肺上叶浸润性腺癌维持性化学治疗	粒细胞缺乏	0
右乳肿物:癌	乳房肿物	1
直肠中分化粘液腺癌根治术后(pT4bN1M0)IIIC期化疗	直肠恶性肿瘤	1
肺侵袭性腺癌	肺恶性肿瘤	1
"""支气管炎,盆腔炎\"""	女性盆腔炎	1
双肺间质性改变特发性肺纤维化可能性大	枪击伤	0
盆腔癌	盆腔恶性肿瘤	1
左腋窝淋巴结增生性病变	腋下淋巴结肿大	1
低锌低铁地贫	锌缺乏	1
腭部慢性涎腺炎伴脂肪组织瘤样增生	脂肪瘤	1
肢体肿胀(静脉曲张)	结肠恶性肿瘤	0
鳃裂瘘管术后	创伤性手指缺如	0
右第一足趾创伤性足趾切断	单趾切断	1
右肺腺癌术后化疗放疗后，脑M，CT显示复发。	腺癌	1
面瘫病	神经麻痹	1
"""胃癌，胃镜检查, 术后化疗呕吐肝功能障碍,慢性肝炎"""	肝功能异常	1
胸椎小关节功能紊乱	臀部恶性肿瘤	0
下唇色素斑	色素斑	1
右枕叶占位	胆囊结石	0
胸腰椎右侧股骨占位	脊柱占位	1
腹痛-胃炎；腹腔感染	胃炎	1
食管贲门低分化鳞癌并下颈部锁骨上淋巴结等转移	鳞状细胞癌	1
胆管癌：重度贫血	胆管癌	1
4右大腿残端皮肤软组织缺血坏死	胃窦恶性肿瘤	0
胸髓病变并不全性截瘫	股骨头幼年型骨软骨病[Legg-Calve-Perthes病]	0
喉癌治疗后的随诊检查	胃体恶性肿瘤	0
部分小肠缺血坏死回肠部分盲肠切除术	下睑袋	0
急性迷路炎或前庭麻痹症	卵圆孔未闭	0
运动发育迟缓歌舞伎综合症	发育迟滞	1
阴茎根部刀伤	"""阴茎开放性损伤"	1
颈椎多发骨质破坏性质待排	甲状腺恶性肿瘤	0
回盲部溃疡型中分化腺癌	腺癌	1
慢性肺曲霉病急性发作	黑色素瘤	0
食指固有神经血管挫裂缺损	癌	0
右侧乳腺纤维瘤切除术后	神经纤维瘤病[VonRecklinghausen病]	0
胆管上皮乳头状增生伴局部上皮不典型增	胆道不典型增生	1
骨盆及C6放疗后	放射治疗	1
右眼眼底黄斑变性	"小腿骨折"""	0
后纵隔神经鞘瘤	神经鞘瘤	1
"""小细胞肺癌晚期化疗,水肿利尿便秘食欲减退,肝功能损害肺部感染,咳嗽行动不便疼痛"""	肺恶性肿瘤	1
睾丸精原细胞瘤(C62.101 M90610/3)	精原细胞瘤	1
原发性扩张型心肌病，全心扩大，心房纤颤、偶发室性早搏，心功能Ⅲ级	心功能III级(NYHA分级)	1
肌酶升高待查：系统性红斑狼疮？肌炎？	肌炎	1
左尺神经挫伤	身体未特指部位的神经损伤	1
右乳头乳晕Paget's病	硬膜下积液	0
左乳导管扩张伴导管囊肿	乳腺导管扩张症	1
卵圆孔未闭6脑后循环缺血	卵圆孔未闭	1
左上肺鳞癌伴左肺门及左纵隔淋巴结、肝转移 Ⅳ期	胃肠功能紊乱	0
右肺下叶局限性炎性病变	肺炎	1
基底节多发腔隙性脑梗死	多发性脑梗死	1
1、肺部感染2、尿酸增高	食管恶性肿瘤	0
右肺鳞癌 cT4N3M1 Ⅳ期	直肠良性肿瘤	0
双踝跌伤	跌倒	1
左下肢跛行原因肌力V级	肌无力	1
膝内翻轻度左侧肋外翻轻度	膝内翻	1
甲状腺乳头状癌二次术后复发	甲状腺乳头状癌	1
早泄腰痛及右睾丸	乳头状浆液性囊腺瘤	0
食管胸中段癌	癌	1
内痔伴出血感染	感染	1
冠心病--心绞痛心功能2级	慢性胃炎	0
食道异物穿孔伴感染	癌	0
"""上呼吸道感染口腔溃疡,行动不便,关节痛,反酸痛风,冠心病预防血栓,高血压"""	反酸	1
肛门感觉异常阴部神经症候群	神经症性障碍	1
双膝外侧盘状半月板轻度OA骨代谢异常	心房颤动[心房纤颤]	0
下丘脑下综合征	冠状动脉粥样硬化性心脏病	0
心功能III级(KILLIP分级)	KillipIII级	1
妊1产0妊372周臀头位	妊娠状态	1
（鼻咽）低分化鳞状细胞癌	结肠恶性肿瘤	0
乘坐客车时翻车导致头胸腹部被撞击致伤	胸部损伤	1
"""右肺腺癌IV期疼痛,特发性肺间质纤维化,2型糖尿病 高血压病 甲状腺结节 胆囊结石伴胆囊炎,便秘"""	右肺恶性肿瘤	1
双侧颈部及颅内动脉多发斑块及狭窄	过敏性鼻炎[变应性鼻炎]	0
卵巢癌术后复发，腹腔转移	晕厥	0
晚孕胆瘀GDMA2	妊娠期肝内胆汁淤积症	1
左上纵隔癌结合形态及免疫表型考虑	甲状旁腺良性肿瘤	0
冠心病;骨质疏松;高血压;脑动脉硬化	回肠造口状态	0
腰椎骨折伴截瘫	化学治疗	0
低色素小细胞性贫血重度	低色素性小细胞性贫血	1
急性下壁ST段抬高型心肌梗死	被狗咬伤	0
自发性脑室出血	脑室出血	1
左股骨干骨折术后内固定物取出术后	股骨干骨折	1
2型糖尿病\骨质疏松症	卵巢恶性肿瘤	0
